Key,en,es,reviewed
Hair Ahoge,Hair Ahoge,Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Contorno del Ahoge,False
Animal Ear >>,Animal Ear >>,Oreja de animal >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Orejas de animal >> Pelaje,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Orejas de animal >> Contorno del pelaje,False
Animal Ear >> Outline,Animal Ear >> Outline,Orejas de animal >> Contorno,False
Animal Ear <<,Animal Ear <<,Orejas de animal <<,False
Animal Ear << Fur,Animal Ear << Fur,Orejas de animal << Pelaje,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Orejas de animal << Contorno del pelaje,False
Animal Ear << Outline,Animal Ear << Outline,Orejas de animal << Contorno,False
Antenna >>,Antenna >>,Antena >>,False
Antenna >> Outline,Antenna >> Outline,Antena >> Contorno,False
Antenna <<,Antenna <<,Antena <<,False
Antenna << Outline,Antenna << Outline,Antena << Contorno,False
Hair Rear,Hair Rear,Pelo trasero,False
Hair Rear Outline,Hair Rear Outline,Contorno del pelo trasero,False
Beverage Cup,Beverage Cup,Vaso de bebida,False
Beverage Liquid,Beverage Liquid,Líquido del vaso,False
Beverage Liquid 2,Beverage Liquid 2,Líquido del vaso 2,False
Bill,Bill,Billetes,False
Blanket Inner,Blanket Inner,Manta interior,False
Blanket Outter,Blanket Outter,Manta exterior,False
Face Blush,Face Blush,Rubor,False
Brow >>,Brow >>,Ceja >>,False
Brow <<,Brow <<,Ceja <<,False
Chopstick,Chopstick,Palillos,False
Crowbar,Crowbar,Palanca,False
Cup,Cup,Taza,False
Cup Steam,Cup Steam,Vapor de la taza,False
Door/Wall,Door/Wall,Puerta/Pared,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Pupila (tonta) >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Pupila (tonta) <<,False
Eyebag,Eyebag,Ojeras,False
Eye Iris Dark >>,Eye Iris Dark >>,Iris Oscuro >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Iris Oscuro <<,False
Eye Dollar,Eye Dollar,Ojos de dinero,False
Eye Heart,Eye Heart,Ojos de corazón,False
Eye Highlight,Eye Highlight,Brillo del ojo,False
Eyelashes,Eyelashes,Pestañas,False
Eye Iris Light >>,Eye Iris Light >>,Brillo del iris >>,False
Eye Iris Light <<,Eye Iris Light <<,Brillo del iris <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Contorno de ojo (tonto),False
Eye Sparkling,Eye Sparkling,Ojos chispeantes,False
Eye Spiral,Eye Spiral,Espiral en los ojos,False
Eye White,Eye White,Ojo blanco,False
Face Shadow,Face Shadow,Sombra de la cara,False
Fin >>,Fin >>,Aleta >>,False
Fin >> Outline,Fin >> Outline,Aleta >> Contorno,False
Fin <<,Fin <<,aleta <<,False
Fin << Outline,Fin << Outline,Fin << Contorno,False
Hair Framing >>,Hair Framing >>,Mechón frontal >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Mechón frontal >> Contorno,False
Hair Framing <<,Hair Framing <<,Mechón frontal <<,False
Hair Framing << Outline,Hair Framing << Outline,Mechón frontal << Contorno,False
Gill,Gill,Branquia,False
Gill Outline,Gill Outline,Contorno de la branquia,False
Glasses,Glasses,Anteojos,False
Hairband A,Hairband A,Diadema A,False
Hairband A Outline,Hairband A Outline,Contorno de Diadema A,False
Hairband B,Hairband B,Diadema B,False
Hairband B Outline,Hairband B Outline,Contorno de Diadema B,False
Hairband C,Hairband C,Diadema C,False
Hairband C Outline,Hairband C Outline,Contorno de Diadema C,False
Hairband D,Hairband D,Diadema D,False
Hairband D Outline,Hairband D Outline,Contorno de Diadema D,False
Hair Bang >>,Hair Bang >>,Flequillo >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Flequillo >> Contorno,False
Hair Bang ><,Hair Bang ><,Flequillo ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Flequillo >< Contorno,False
Hair Bang <<,Hair Bang <<,Flequillo <<,False
Hair Bang << Outline,Hair Bang << Outline,Flequillo << Contorno,False
Hair Clip >>,Hair Clip >>,Pinza para el pelo >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Pinza para el cabello >> Contorno,False
Hair Clip <<,Hair Clip <<,Pinza para el pelo <<,False
Hair Clip << Outline,Hair Clip << Outline,Pinza para el cabello << Contorno,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Mechas de cabello 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Mechas de cabello 1 >> Contorno,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Mechas de cabello 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Mechas de cabello 2 >> Contorno,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Mechas de cabello 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Mechas de cabello 3 >> Contorno,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Mechas de cabello 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Mechas de cabello 1 >< Contorno,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Mechas de cabello 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Mechas de cabello 2 >< Contorno,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Destacado del cabello 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Mechas de cabello 3 >< Contorno,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Mechas de cabello 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Mechas de cabello 4 >< Contorno,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Mechas de cabello 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Mechas de cabello 5 >< Contorno,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Mechas de cabello 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Mechas de cabello 6 >< Contorno,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Mechas de cabello 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Mechas de cabello 1 << Contorno,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Mechas de cabello 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Mechas de cabello 2 << Contorno,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Mechas de cabello 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Mechas de cabello 3 << Contorno,False
Hairline Outline,Hairline Outline,Contorno de la rayita,False
Hair Shine,Hair Shine,Brillo del cabello,False
Hair Shine Outline,Hair Shine Outline,Contorno del brillo del cabello,False
Halo,Halo,Halo,False
Halo Outline,Halo Outline,Contorno del halo,False
Hat,Hat,Sombrero,False
Hat Outline,Hat Outline,Contorno del sombrero,False
Hat Secondary,Hat Secondary,Sombrero Secundario,False
Hat Secondary Outline,Hat Secondary Outline,Contorno del sombrero secundario,False
Hammer,Hammer,Martillo,False
Ear Wing >>,Ear Wing >>,Ala de oreja >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Ala de oreja >> Contorno,False
Ear Wing <<,Ear Wing <<,Ala de oreja <<,False
Ear Wing << Outline,Ear Wing << Outline,Ala de oreja << Contorno,False
Heart,Heart,Corazón,False
