Key,en,es,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","¿Confirmas que quieres eliminar el personaje ""{0}""? Esta acción no se puede deshacer.",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","El personaje ""{0}"" ya existe. ¿Quieres sobreescribir el personaje ""{0}""? Esta acción no se puede deshacer.",True
MainMenu.Confirm,Confirm,Confirmar,True
MainMenu.Cancel,Cancel,Cancelar,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Por favor ingresa el nombre del personaje:,True
MainMenu.Editor.Model,Models,Modelos,True
MainMenu.Editor.Character,Character,Personaje,True
MainMenu.Editor.Animation,Animation,Animación,True
MainMenu.Editor.PartsSelection,Choose Parts,Elije las partes,True
MainMenu.Editor.PartsAdjustment,Adjustment,Ajustes,True
MainMenu.Search,Search...,Buscar...,True
MainMenu.Editor.SaveCharacter,Save Character,Guardar personaje,True
MainMenu.Editor.Unload,Clear Character,Limpiar personaje,True
MainMenu.Editor.DeleteCharacter,Delete Character,Eliminar personaje,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Utilizar texturas personalizadas,True
MainMenu.Editor.ReloadTextures,Reload Textures,Recargar texturas,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Abrir carpeta de texturas personalizada,True
MainMenu.Editor.Color,Color,Color,True
MainMenu.Editor.TintColor,TintColor,TintedeColor,True
MainMenu.Editor.TintBlackColor,TintBlackColor,TinteColorNegro,True
MainMenu.Editor.LICENSE,LICENSE,LICENCIA,True
MainMenu.Editor.AssetTypeAA,Built-in,Texturas Predeterminadas,False
MainMenu.Editor.AssetTypeSA,Third-Party,Texturas de Terceros,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Dejar de usar modelo actual,True
MainMenu.Settings.GeneralSettings,General Settings,Configuraciones generales,True
MainMenu.Settings.GeneralSettings.Language,Language,Idioma,True
MainMenu.Settings.ViewportSettings,Viewport Settings,Configuración de la ventana gráfica,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Velocidad de zoom,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Velocidad de rotación,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Escala del model,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Desplazamiento horizontal,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Desplazamiento vertical,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Restablecer la configuración de la ventana gráfica,True
MainMenu.Settings.ExportSettings,Animation Export Settings,Configuración de exportación de animación,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Ubicación de guardado,True
