Key,en,fr,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Éditeur,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Êtes-vous sûr de vouloir supprimer le personnage ""{0}"" ? Cette action ne peut pas être annulée.",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Le personnage ""{0}"" existe déjà. Êtes-vous sûr de vouloir remplacer le personnage « {0} » ? Cette action ne peut pas être annulée.",True
MainMenu.Confirm,Confirm,Confirmer,True
MainMenu.Cancel,Cancel,Annuler,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Veuillez saisir un nom de personnage :,True
MainMenu.Editor.Model,Models,Modèles,True
MainMenu.Editor.Character,Character,Personnage,True
MainMenu.Editor.Animation,Animation,Animation,True
MainMenu.Editor.PartsSelection,Choose Parts,Choisir des Parties,True
MainMenu.Editor.PartsAdjustment,Adjustment,Ajustements,True
MainMenu.Search,Search...,Recherche...,True
MainMenu.Editor.SaveCharacter,Save Character,Enregistrer le Personnage,True
MainMenu.Editor.Unload,Clear Character,Réinitialiser le Personnage,True
MainMenu.Editor.DeleteCharacter,Delete Character,Supprimer le Personnage,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Utiliser des Textures Personnalisées,True
MainMenu.Editor.ReloadTextures,Reload Textures,Recharger les Textures,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Ouvrir le Dossier des Textures Personnalisées,True
MainMenu.Editor.Color,Color,Couleur,True
MainMenu.Editor.TintColor,TintColor,TeinteCouleur,True
MainMenu.Editor.TintBlackColor,TintBlackColor,TeinteNoireCouleur,True
MainMenu.Editor.LICENSE,LICENSE,LICENCE,True
MainMenu.Editor.AssetTypeAA,Built-in,Actifs par Défaut,False
MainMenu.Editor.AssetTypeSA,Third-Party,Assets Applications Tierces,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Décharger le modèle actuel,True
MainMenu.Settings.GeneralSettings,General Settings,Paramètres généraux,True
MainMenu.Settings.GeneralSettings.Language,Language,Langue,True
MainMenu.Settings.ViewportSettings,Viewport Settings,Paramètres de la fenêtre,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Vitesse de zoom,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Vitesse de rotation,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Échelle du modèle,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Décalage horizontal,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Décalage vertical,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Réinitialiser les paramètres de la fenêtre,True
MainMenu.Settings.ExportSettings,Animation Export Settings,Paramètres d'exportation d'animations,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Enregistrer l'emplacement,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Exporter les préréglages,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encodeur,True
MainMenu.Settings.ExportSettings.Width,Width,Largeur,True
MainMenu.Settings.ExportSettings.Height,Height,Hauteur,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Limite Max. Nombre d'images,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Max. Nombre d'images,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Seuil alpha,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Activer le tramage,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Réinitialiser les paramètres d'exportation,True
MainMenu.Editor.Export,Export Emote,Exporter une émoticône,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Licence fournie par le créateur du modèle. Affiché à titre de référence uniquement et ne représente pas les opinions ou la position juridique du développeur EmoteLab.,True
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",Licence introuvable. Confirmez l'utilisation autorisée auprès du créateur.,True
LicensePopup.Close,Close,Fermer,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,Ouvrir le dossier d'exportation,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Charger des exemples de personnages pour les modèles intégrés,True
MainMenu.Settings.ModelSettings,Model Settings,Paramètres du modèle,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Enregistrement des données du personnage...,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Chargement du personnage...,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Licences tierces,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Contrat de licence utilisateur final (CLUF),True
MainMenu.Info.Documentation,Documentation,Documentation,True
MainMenu.Info.Discord,Join Our Discord,Rejoignez notre Discord,True
