Key,en,ja,reviewed
MainMenu.TabHeaderLable.Editor,Editor,エディター,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",キャラクター「{0}」を削除しますか？この操作は元に戻せません。,True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",キャラクター「{0}」はすでに存在します。キャラクター「{0}」を上書きしますか？この操作は元に戻せません。,True
MainMenu.Confirm,Confirm,確認,True
MainMenu.Cancel,Cancel,キャンセル,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,キャラクター名を入力してください,True
MainMenu.Editor.Model,Models,モデル,True
MainMenu.Editor.Character,Character,キャラクター,True
MainMenu.Editor.Animation,Animation,アニメーション,True
MainMenu.Editor.PartsSelection,Choose Parts,パーツ選択,True
MainMenu.Editor.PartsAdjustment,Adjustment,調整,True
MainMenu.Search,Search...,検索…,True
MainMenu.Editor.SaveCharacter,Save Character,キャラクターを保存,True
MainMenu.Editor.Unload,Clear Character,キャラクターを初期化,True
MainMenu.Editor.DeleteCharacter,Delete Character,キャラクターを削除,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,カスタムテクスチャを使用,True
MainMenu.Editor.ReloadTextures,Reload Textures,テクスチャを再読み込み,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,カスタムテクスチャフォルダを開く,True
MainMenu.Editor.Color,Color,色,True
MainMenu.Editor.TintColor,TintColor,色合い,True
MainMenu.Editor.TintBlackColor,TintBlackColor,黒の色合い,True
MainMenu.Editor.LICENSE,LICENSE,ライセンス,True
MainMenu.Editor.AssetTypeAA,Built-in,標準アセット,False
MainMenu.Editor.AssetTypeSA,Third-Party,外部アセット,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,モデルの読み込みを解除,True
MainMenu.Settings.GeneralSettings,General Settings,一般設定,True
MainMenu.Settings.GeneralSettings.Language,Language,言語,True
MainMenu.Settings.ViewportSettings,Viewport Settings,ビューポート設定,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,ズーム速度,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,回転速度,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,モデルスケール,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,水平オフセット,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,垂直オフセット,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,ビューポート設定をリセット,True
MainMenu.Settings.ExportSettings,Animation Export Settings,アニメーション書き出し設定,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,保存先,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,書き出しプリセット,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,エンコーダー,True
MainMenu.Settings.ExportSettings.Width,Width,幅,True
MainMenu.Settings.ExportSettings.Height,Height,高さ,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,最大フレーム数を制限,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大フレーム数,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,アルファしきい値,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,ディザリングを有効化,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,書き出し設定をリセット,True
MainMenu.Editor.Export,Export Emote,エモートを書き出し,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,モデル制作者が提供したライセンスです。参照用に表示されるもので、EmoteLab開発者の見解または法的立場を示すものではありません。,True
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",このサードパーティ製モデルの制作者は、モデルにライセンスまたは利用規約を同梱していません。公開・商用・業務用途で使用する前に、利用可能な範囲をモデル制作者へ直接確認してください。,True
LicensePopup.Close,Close,閉じる,True
