Key,en,pt-br,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Você tem certeza que quer excluir o personagem ""{0}""? Essa ação não pode ser desfeita.",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","O personagem ""{0}"" já existe. Você tem certeza que quer sobrescrever o personagem ""{0}""? Essa ação não poderá ser desfeita.",True
MainMenu.Confirm,Confirm,Confirmar,True
MainMenu.Cancel,Cancel,Cancelar,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Por favor coloque um nome para o personagem:,True
MainMenu.Editor.Model,Models,Modelos,True
MainMenu.Editor.Character,Character,Personagem,True
MainMenu.Editor.Animation,Animation,Animação,True
MainMenu.Editor.PartsSelection,Choose Parts,Escolha partes,True
MainMenu.Editor.PartsAdjustment,Adjustment,Ajuste,True
MainMenu.Search,Search...,Pesquisar...,True
MainMenu.Editor.SaveCharacter,Save Character,Salvar personagem,True
MainMenu.Editor.Unload,Clear Character,Limpar personagem,True
MainMenu.Editor.DeleteCharacter,Delete Character,Deletar personagem,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Usar Texturas Customizadas,True
MainMenu.Editor.ReloadTextures,Reload Textures,Recarregar Texturas,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Abrir Pasta Com Texturas Customizadas,True
MainMenu.Editor.Color,Color,Cor,True
MainMenu.Editor.TintColor,TintColor,CorDaMatiz,True
MainMenu.Editor.TintBlackColor,TintBlackColor,CorDaMatizPreto,True
MainMenu.Editor.LICENSE,LICENSE,LICENÇA,True
MainMenu.Editor.AssetTypeAA,Built-in,Assets Padrão,False
MainMenu.Editor.AssetTypeSA,Third-Party,Assets de Terceiros,False
