Key;en;ru;reviewed
Hair Ahoge;Hair Ahoge;Волосы Ахоге;FALSE
Hair Ahoge Outline;Hair Ahoge Outline;Волосы Ахоге Контур;FALSE
Animal Ear >>;Animal Ear >>;Звериные уши >>;FALSE
Animal Ear >> Fur;Animal Ear >> Fur;Звериные уши (Мех) >>;FALSE
Animal Ear >> Fur Outline;Animal Ear >> Fur Outline;Звериные уши (Мех) >> Контур;FALSE
Animal Ear >> Outline;Animal Ear >> Outline;Звериные уши >> Контур;FALSE
Animal Ear <<;Animal Ear <<;Звериные уши <<;FALSE
Animal Ear << Fur;Animal Ear << Fur;Звериные уши (Мех) <<;FALSE
Animal Ear << Fur Outline;Animal Ear << Fur Outline;Звериные уши (Мех) << Контур;FALSE
Animal Ear << Outline;Animal Ear << Outline;Звериные уши << Контур;FALSE
Antenna >>;Antenna >>;Антенна >>;FALSE
Antenna >> Outline;Antenna >> Outline;Антенна >> Контур;FALSE
Antenna <<;Antenna <<;Антенна <<;FALSE
Antenna << Outline;Antenna << Outline;Антенна << Контур;FALSE
Hair Rear;Hair Rear;Задние волосы;FALSE
Hair Rear Outline;Hair Rear Outline;Задние волосы - Контур;FALSE
Beverage Cup;Beverage Cup;Стаканчик;FALSE
Beverage Liquid;Beverage Liquid;Жидкость в стаканчике;FALSE
Beverage Liquid 2;Beverage Liquid 2;Жидкость в стаканчике 2;FALSE
Bill;Bill;Деньги;FALSE
Blanket Inner;Blanket Inner;Одеяло ;FALSE
Blanket Outter;Blanket Outter;Плед поверх одеяла;FALSE
Face Blush;Face Blush;Румянец;FALSE
Brow >>;Brow >>;Бровь >>;FALSE
Brow <<;Brow <<;Бровь <<;FALSE
Chopstick;Chopstick;Палочки для еды;FALSE
Crowbar;Crowbar;Лом;FALSE
Cup;Cup;Чашка;FALSE
Cup Steam;Cup Steam;Пар из чашки;FALSE
Door/Wall;Door/Wall;Дверь/Стена;FALSE
Eye(Dum) Pupil >>;Eye(Dum) Pupil >>;Глаз(Глупик) Зрачок >>;FALSE
Eye(Dum) Pupil <<;Eye(Dum) Pupil <<;Глаз (Глупик) Зрачок <<;FALSE
Eyebag;Eyebag;Мешки под глазами;FALSE
Eye Iris Dark >>;Eye Iris Dark >>;Глаза Радужка Темная >>;FALSE
