Key,en,sv,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Redaktör,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Är du säker på att du vill ta bort tecknet ""{0}""? Denna åtgärd kan inte ångras.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Tecknet ""{0}"" finns redan. Är du säker på att du vill skriva över tecknet ""{0}""? Denna åtgärd kan inte ångras.",False
MainMenu.Confirm,Confirm,Bekräfta,False
MainMenu.Cancel,Cancel,Avboka,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,Vänligen ange ett teckennamn:,False
MainMenu.Editor.Model,Models,Modeller,False
MainMenu.Editor.Character,Character,Karaktär,False
MainMenu.Editor.Animation,Animation,Animation,False
MainMenu.Editor.PartsSelection,Choose Parts,Välj delar,False
MainMenu.Editor.PartsAdjustment,Adjustment,Justering,False
MainMenu.Search,Search...,Söka...,False
MainMenu.Editor.SaveCharacter,Save Character,Spara tecken,False
MainMenu.Editor.Unload,Clear Character,Tydlig karaktär,False
MainMenu.Editor.DeleteCharacter,Delete Character,Ta bort tecken,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Använd anpassade texturer,False
MainMenu.Editor.ReloadTextures,Reload Textures,Ladda om texturer,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Öppna anpassad texturmapp,False
MainMenu.Editor.Color,Color,Färg,False
MainMenu.Editor.TintColor,TintColor,TintColor,False
MainMenu.Editor.TintBlackColor,TintBlackColor,NyansSvartFärg,False
MainMenu.Editor.LICENSE,LICENSE,LICENS,False
MainMenu.Editor.AssetTypeAA,Built-in,Standardtillgångar,False
MainMenu.Editor.AssetTypeSA,Third-Party,Tredjepartstillgångar,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Lossa aktuell modell,False
MainMenu.Settings.GeneralSettings,General Settings,Allmänna inställningar,False
MainMenu.Settings.GeneralSettings.Language,Language,Språk,False
MainMenu.Settings.ViewportSettings,Viewport Settings,Viewport-inställningar,False
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Zoomhastighet,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Rotationshastighet,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Modellskala,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Offset horisontell,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Offset Vertikal,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Återställ Viewport Settings,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Animation Export Settings,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Spara plats,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Exportera förinställningar,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Encoder,False
MainMenu.Settings.ExportSettings.Width,Width,Bredd,False
MainMenu.Settings.ExportSettings.Height,Height,Höjd,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Begränsning Max. Antal ramar,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Max. Antal ramar,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Alfatröskel,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Aktivera dithering,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Återställ exportinställningar,False
MainMenu.Editor.Export,Export Emote,Exportera Emote,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Licens tillhandahållen av modellskaparen. Visas endast som referens och representerar inte EmoteLab-utvecklarens åsikter eller rättsliga ställning.,False
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.","Skaparen av den här tredjepartsmodellen har inte tillhandahållit en licens eller användningsvillkor med modellen. Innan du använder den här modellen i offentliga, kommersiella eller professionella sammanhang bör du bekräfta den tillåtna användningsomfånget direkt med modellens skapare.",False
LicensePopup.Close,Close,Nära,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,Öppna Exportmapp,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Ladda provtecken för inbyggda modeller,False
MainMenu.Settings.ModelSettings,Model Settings,Modellinställningar,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Sparar teckendata...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Laddar tecken...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Tredjepartslicenser,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Slutanvändarlicensavtal (EULA),False
MainMenu.Info.Documentation,Documentation,Dokumentation,False
MainMenu.Info.Discord,Join Our Discord,Gå med i vår discord,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Denna förinställning ställer in rätt format och mått. Mycket långa animationer kan överskrida gränserna för plattformens filstorlek, och vissa plattformar begränsar visst innehåll.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Öppna lokal modellmapp,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Öppna teckenmappen,False
MainMenu.Info.Log,Open Log Folder,Öppna Loggmapp,False
