Key,en,uk,reviewed
MainMenu.TabHeaderLable.Editor,Editor,редактор,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","Ви впевнені, що бажаєте видалити символ ""{0}""? Цю дію не можна скасувати.",False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","Символ ""{0}"" уже існує. Ви впевнені, що бажаєте перезаписати символ ""{0}""? Цю дію не можна скасувати.",False
MainMenu.Confirm,Confirm,Підтвердити,False
MainMenu.Cancel,Cancel,Скасувати,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,"Будь ласка, введіть ім'я персонажа:",False
MainMenu.Editor.Model,Models,Моделі,False
MainMenu.Editor.Character,Character,персонаж,False
MainMenu.Editor.Animation,Animation,Анімація,False
MainMenu.Editor.PartsSelection,Choose Parts,Виберіть частини,False
MainMenu.Editor.PartsAdjustment,Adjustment,коригування,False
MainMenu.Search,Search...,пошук...,False
MainMenu.Editor.SaveCharacter,Save Character,Зберегти символ,False
MainMenu.Editor.Unload,Clear Character,Чіткий характер,False
MainMenu.Editor.DeleteCharacter,Delete Character,Видалити символ,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,Використовуйте спеціальні текстури,False
MainMenu.Editor.ReloadTextures,Reload Textures,Перезавантажити текстури,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,Відкрийте папку Custom Texture,False
MainMenu.Editor.Color,Color,Колір,False
MainMenu.Editor.TintColor,TintColor,TintColor,False
MainMenu.Editor.TintBlackColor,TintBlackColor,TintBlackColor,False
MainMenu.Editor.LICENSE,LICENSE,ЛІЦЕНЗІЯ,False
MainMenu.Editor.AssetTypeAA,Built-in,Активи за замовчуванням,False
MainMenu.Editor.AssetTypeSA,Third-Party,Активи третіх сторін,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Вивантажити поточну модель,False
MainMenu.Settings.GeneralSettings,General Settings,Загальні налаштування,False
MainMenu.Settings.GeneralSettings.Language,Language,Мова,False
MainMenu.Settings.ViewportSettings,Viewport Settings,Налаштування вікна перегляду,False
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,Швидкість масштабування,False
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,Швидкість обертання,False
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,Масштаб моделі,False
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,Зміщення по горизонталі,False
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,Зміщення по вертикалі,False
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,Скинути налаштування вікна перегляду,False
MainMenu.Settings.ExportSettings,Animation Export Settings,Параметри експорту анімації,False
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,Зберегти місцезнаходження,False
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,Експорт пресетів,False
MainMenu.Settings.ExportSettings.Encoder,Encoder,Кодувальник,False
MainMenu.Settings.ExportSettings.Width,Width,Ширина,False
MainMenu.Settings.ExportSettings.Height,Height,Висота,False
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,False
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,Обмеження Макс. Кількість кадрів,False
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,Макс. Кількість кадрів,False
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,Альфа-поріг,False
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,Увімкнути дизерінг,False
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,Скинути налаштування експорту,False
MainMenu.Editor.Export,Export Emote,Експорт Emote,False
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,Ліцензія надана розробником моделі. Відображається лише для довідки та не відображає поглядів або правової позиції розробника EmoteLab.,False
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.","Творець цієї сторонньої моделі не надав ліцензію чи умови використання разом із моделлю. Перш ніж використовувати цю модель у публічному, комерційному чи професійному контексті, ви повинні підтвердити дозволену сферу використання безпосередньо у творця моделі.",False
LicensePopup.Close,Close,Закрити,False
MainMenu.Editor.OpenExportFolder,Open Export Folder,Відкрийте папку експорту,False
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,Завантажте зразки символів для вбудованих моделей,False
MainMenu.Settings.ModelSettings,Model Settings,Параметри моделі,False
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,Збереження даних символів...,False
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,Завантаження символу...,False
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,Ліцензії третіх осіб,False
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),Ліцензійна угода кінцевого користувача (EULA),False
MainMenu.Info.Documentation,Documentation,Документація,False
MainMenu.Info.Discord,Join Our Discord,Приєднуйтесь до нашого Discord,False
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.","Цей стиль встановлює правильний формат і розміри. Дуже довгі анімації можуть перевищувати обмеження розміру файлу платформи, а деякі платформи обмежують певний вміст.",False
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,Відкрийте локальну папку моделі,False
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Відкрийте папку Character,False
MainMenu.Info.Log,Open Log Folder,Відкрити папку журналу,False
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Використання глобальної таблиці кольорів,False
MainMenu.Editor.ExportStatic,Export Static Image,Експорт статичного зображення,False
MainMenu.Editor.Player.Speed,Speed,швидкість,False
MainMenu.Settings.StaticImageSettings,Static Image Settings,Параметри статичного зображення,False
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Скинути параметри статичного зображення,False
