Key,en,zh-Hant,reviewed
Brows,Brows,眉毛,True
Ear,Ear,耳朵,True
Eye,Eye,眼睛,True
Base Hair,Base Hair,基礎頭髮,True
Hair Bang >>,Hair Bang >>,頭髮 瀏海 >>,True
Hair Bang ><,Hair Bang ><,頭髮 瀏海 ><,True
Hair Bang <<,Hair Bang <<,頭髮 瀏海 <<,True
Hair Shine,Hair Shine,頭髮 高光,True
Hair Branch >>,Hair Branch >>,頭髮 分叉 >>,True
Hair Branch <<,Hair Branch <<,頭髮 分叉 <<,True
Hair Framing >>,Hair Framing >>,頭髮 臉頰 >>,True
Hair Framing <<,Hair Framing <<,頭髮 臉頰 <<,True
Hair Framing,Hair Framing,頭髮 臉頰兩側,True
Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 ><,True
Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 ><,True
Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 ><,True
Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 ><,True
Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 ><,True
Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 ><,True
Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 <<,True
Hair Side,Hair Side,頭髮 側面,True
Hair Ahoge,Hair Ahoge,頭髮 呆毛,True
Hair Rear,Hair Rear,頭髮 後側,True
Hair Pigtail >>,Hair Pigtail >>,頭髮 馬尾 >>,True
Hair Pigtail <<,Hair Pigtail <<,頭髮 馬尾 <<,True
Animal Ear,Animal Ear,獸耳,True
Antenna,Antenna,觸角,True
Fin,Fin,鰭,True
Gill,Gill,鰓,True
Glasses,Glasses,眼鏡,True
Hairband A,Hairband A,髮帶 A,True
Hairband B,Hairband B,髮帶 B,True
Hairband C,Hairband C,髮帶 C,True
Hairband D,Hairband D,髮帶 D,True
Hair Clip >>,Hair Clip >>,髮夾 >>,True
Hair Clip <<,Hair Clip <<,髮夾 <<,True
Halo,Halo,光環,True
Hat,Hat,帽子,True
Ear Wing,Ear Wing,翅膀耳朵,True
Horn,Horn,角,True
Horn Front ><,Horn Front ><,角 前 ><,True
Horn Front,Horn Front,角 前,True
Mecha,Mecha,機械,True
Outfit Collar Inner,Outfit Collar Inner,服裝 領子 內側,True
Outfit Inner,Outfit Inner,服裝 內側,True
Outfit Outer,Outfit Outer,服裝 外側,True
Outfit Neckwear A,Outfit Neckwear A,服裝 頸部裝飾 A,True
Outfit Neckwear B,Outfit Neckwear B,服裝 頸部裝飾 B,True
Outfit Neckwear C,Outfit Neckwear C,服裝 頸部裝飾 C,True
Hair Side Branch >> A,Hair Side Branch >> A,頭髮 側面分叉 >> A,True
Hair Side Branch >> B,Hair Side Branch >> B,頭髮 側面分叉 >> B,True
Hair Side Branch >> C,Hair Side Branch >> C,頭髮 側面分叉 >> C,True
Hair Side Branch << A,Hair Side Branch << A,頭髮 側面分叉 << A,True
Hair Side Branch << B,Hair Side Branch << B,頭髮 側面分叉 << B,True
Hair Side Branch << C,Hair Side Branch << C,頭髮 側面分叉 << C,True
Tail,Tail,尾巴,True
Wing,Wing,翅膀,True
